单词                  |音标                  |词性&词义               
--------------------------------------------------------------------------------
abandon               |/əˈbændən/            |< n. > - 放纵 ;< v. > - 放弃；抛弃；放纵 ;
ability               |/əˈbɪləti/            |< n. > - 能力；才能 ;
able                  |/ˈeɪbl/               |< adj. > - 能够的；有能力的；能干的 ;
abnormal              |/æbˈnɔːrml/           |< adj. > - 反常的；不正常的；变态的 ;< n. > - 不正常的人 ;
aboard                |/əˈbɔːrd/             |< adv. > - 在船上；在火车上；在飞机上 ;< prep. > - 上船；上飞机；上车 ;
about                 |/əˈbaʊt/              |< prep. > - 关于；大约；在  ;< adj. > - 即将的；正要的；在流行中的 ;< adv. > - 大约；附近；到处；在周围 ;
above                 |/əˈbʌv/               |< prep. > - 超过；在  ;< adj. > - 上面的；以上的 ;< adv. > - 在上面；超过；更重要地；上文地 ;< n. > - 上面的东西 ;
abroad                |/əˈbrɔːd/             |< adv. > - 到国外；广为流传 ;< adj. > - 在国外；海外(一般作表语) ;
abruptly              |/əˈbrʌptli/           |< adv. > - 突然地；莽撞地；陡峭地；不连贯地 ;
absence               |/ˈæbsəns/             |< n. > - 缺席；缺乏 ;
absent                |/ˈæbsənt/             |< adj. > - 缺席的；不在的；缺乏的 ;< vt. > - 使缺席 ;
absolute              |/ˈæbsəluːt/           |< adj. > - 绝对的；确实的；专制的；完全的；独立的；无限制的 ;< n. > - 绝对的事物 ;
absolutely            |/ˈæbsəluːtli/         |< adv. > - 完全地；绝对地；[语]独立地 ;< int. > - （表示赞同）完全正确，一点没错 ;
absorb                |/əbˈsɔːrb/            |< vt. > - 吸收；吸引  ;
abstract              |/ˈæbstrækt/           |< v. > - (/æbˈstrækt/)把…抽象出；提取；抽取；转移(注意力等)；做…的摘要；<婉>偷 ;< adj. > - 抽象的；理论的；抽象派的 ;< n. > - 摘要；抽象派艺术作品 ;
abundant              |/əˈbʌndənt/           |< adj. > - 丰富的；充裕的 ;
abuse                 |/əˈbjuːs/             |< vt. > - 滥用；辱骂；虐待 ;< n. > - 滥用；恶习 ;
academic              |/ˌækəˈdemɪk/          |< adj. > - 学院的；学术的；理论的 ;< n. > - 大学教师，大学生；学者，学究 ;
academy               |/əˈkædəmi/            |< n. > - 学院；学会；专科学校 ;
accelerate            |/əkˈseləreɪt/         |< v. > - 加速；提前；跳级 ;
acceleration          |/əkˌseləˈreɪʃn/       |< n. > - 加速；促进；加速度 ;
accent                |/ˈæksent/             |< vt. > - 重读；强调 ;< n. > - 重音；口音；强调 ;
accept                |/əkˈsept/             |< vt. > - 接受；同意；承担(责任等) ;< vi. > - 接受 ;
acceptable            |/əkˈseptəbl/          |< adj. > - 合意的；受欢迎的；可接受的 ;
acceptance            |/əkˈseptəns/          |< n. > - 认可；同意；承兑；接受（礼物、邀请、建议等） ;
access                |/ˈækses/              |< vt. > - 进入；(电脑)存取 ;< n. > - 接近(的机会)；使用之权 ;
accessory             |/əkˈsesəri/           |< adj. > - 辅助的；附属的；同谋的 ;< n. > - 附件；配件；同谋 ;
accident              |/ˈæksɪdənt/           |< n. > - 事故；意外；偶然；造化 ;
accidental            |/ˌæksɪˈdentl/         |< adj. > -  意外的； 偶然的； 附属的 ;< n. > -  偶然； 不重要的东西； <音>变调的临时符号 ;
accidentally          |/ˌæksɪˈdentəli/       |< adv. > - 偶然地；意外地；附带地 ;
accommodate           |/əˈkɑːmədeɪt/         |< vt. > - 供给住宿；使适应；容纳；提供；顾及；调解 ;< vi. > - 适应；调节 ;
accommodation         |/əˌkɑːməˈdeɪʃn/       |< n. > - 膳宿；和解；住处；适应 ;
